"feature_id","feature_category","feature_label","implementation","structure_case_id","pdb_id","size_class","structure_status","matrix_status","evidence_ref","reason"
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-g1c-small-molecule.pdb","","XS","PASS","PASS","FEATURE_INVENTORY.json","Application lifecycle was verified with the canonical small-molecule fixture."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-ring-ligand.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-mini-protein.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-multistate.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-typed-nucleic.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-edge-identity.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-g1c-secondary-formal.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-unit-cell.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","LOCAL-g1c-malformed.pdb","","S","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Invalid x coordinate value in structure input."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1CRN","1CRN","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1UBQ","1UBQ","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-4DJW","4DJW","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1BNA","1BNA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1TRA","1TRA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1EH1","1EH1","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1G6V","1G6V","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1C3W","1C3W","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1AON","1AON","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-5LE5","5LE5","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-3J9M","3J9M","XL","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Canonical ingestion probe exceeded 995 seconds (~16.6 minutes) without producing a validated result; probe was terminated to preserve the bounded campaign environment."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-4V6F","4V6F","XXL","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Application ingestion hard limit is 26214400 bytes."
"app.boot","application","Application boot","IMPLEMENTED","RCSB-1AFO","1AFO","M","BLOCKED","BLOCKED","DATASET_MANIFEST.json","mmCIF coordinate models do not have a validated atom correspondence."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-g1c-small-molecule.pdb","","XS","PASS","PASS","FEATURE_INVENTORY.json","Application lifecycle was verified with the canonical small-molecule fixture."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-ring-ligand.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-mini-protein.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-multistate.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-typed-nucleic.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-edge-identity.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-g1c-secondary-formal.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-unit-cell.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","LOCAL-g1c-malformed.pdb","","S","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Invalid x coordinate value in structure input."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1CRN","1CRN","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1UBQ","1UBQ","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-4DJW","4DJW","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1BNA","1BNA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1TRA","1TRA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1EH1","1EH1","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1G6V","1G6V","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1C3W","1C3W","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1AON","1AON","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-5LE5","5LE5","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-3J9M","3J9M","XL","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Canonical ingestion probe exceeded 995 seconds (~16.6 minutes) without producing a validated result; probe was terminated to preserve the bounded campaign environment."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-4V6F","4V6F","XXL","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Application ingestion hard limit is 26214400 bytes."
"app.loading","application","Loading states","IMPLEMENTED","RCSB-1AFO","1AFO","M","BLOCKED","BLOCKED","DATASET_MANIFEST.json","mmCIF coordinate models do not have a validated atom correspondence."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-g1c-small-molecule.pdb","","XS","PASS","PASS","FEATURE_INVENTORY.json","Application lifecycle was verified with the canonical small-molecule fixture."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-ring-ligand.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-mini-protein.pdb","","XS","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-multistate.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-typed-nucleic.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-edge-identity.mmcif","","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-g1c-secondary-formal.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-unit-cell.pdb","","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","LOCAL-g1c-malformed.pdb","","S","BLOCKED","BLOCKED","DATASET_MANIFEST.json","Invalid x coordinate value in structure input."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1CRN","1CRN","S","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1UBQ","1UBQ","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-4DJW","4DJW","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1BNA","1BNA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1TRA","1TRA","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1EH1","1EH1","S/M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1G6V","1G6V","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1C3W","1C3W","M","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-1AON","1AON","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
"app.errors","application","Structured errors","IMPLEMENTED","RCSB-5LE5","5LE5","L","PASS","NOT_APPLICABLE","FEATURE_INVENTORY.json","Feature is structure-independent or was not targeted for a case-specific assertion in this campaign."
